tag,tag_key,tag_value,osm_type,osm_id,name,name_ko,name_en,has_hangul_name,lat,lon,address
amenity=restaurant,amenity,restaurant,node,13946953599,하루빈 중화요리,,,Y,37.5487450,126.9157343,서울특별시 마포구 독막로 19-3
amenity=restaurant,amenity,restaurant,node,12074756324,삼육서울병원 추모관식당,,,Y,37.5878491,127.0653153,망우로 82
healthcare=doctor,healthcare,doctor,node,368796558,청담한의원,청담한의원,Cheongdam Oriental Medicine Clinic,Y,37.5049425,126.7646587,
amenity=restaurant,amenity,restaurant,node,13851761663,을지회관,,,Y,37.5666429,126.9885796,삼일대로10길 36
amenity=restaurant,amenity,restaurant,node,13903555407,국대떡볶이군자역점,,,Y,37.5554359,127.0788034,서울특별시 광진구 능동로 288
amenity=restaurant,amenity,restaurant,node,13854683052,싹쓰리 솥뚜껑 김치삼겹살,,,Y,37.5761431,127.0482652,"답십리로 61-1, 1층 (전농동)"
amenity=restaurant,amenity,restaurant,node,13851759418,Journey Roti(져니 로띠),,,Y,37.5632402,127.0019160,퇴계로 235
tourism=guest_house,tourism,guest_house,node,13727249529,대원하숙,,,Y,37.5622025,126.9307385,
amenity=restaurant,amenity,restaurant,node,13946797110,대게집,,,Y,37.5099807,127.0266511,학동로20길 62
amenity=bank,amenity,bank,node,4662847536,우리은행,우리은행,Woori Bank,Y,37.6666944,127.0568767,
shop=convenience,shop,convenience,node,13911612858,CU 을지로 5가점,,,Y,37.5665860,127.0019130,"동호로 361,"
amenity=restaurant,amenity,restaurant,node,13854682180,루프탑다이닝,,,Y,37.5756863,127.0250095,"왕산로2길 9, 3층 (신설동)"
amenity=restaurant,amenity,restaurant,node,7559560391,곱창전문점,,,Y,37.5784302,127.0269917,
amenity=restaurant,amenity,restaurant,node,13930570859,대호,,,Y,37.5573670,126.9512940,신촌로 229
healthcare=dentist,healthcare,dentist,node,368798121,늘해랑치과의원,,,Y,37.5153640,126.7703654,
amenity=restaurant,amenity,restaurant,node,13958829108,오렌지,,,Y,37.4951050,127.1174765,송파대로32길 06-06
amenity=restaurant,amenity,restaurant,node,12074414156,에그셀런트 금호점,,,Y,37.5470184,127.0196788,독서당로 274
amenity=restaurant,amenity,restaurant,node,13360989703,꾸워,,,Y,37.5980858,126.9118531,은평로 34
amenity=restaurant,amenity,restaurant,node,13851761395,대장부식당,,,Y,37.5560962,126.9753153,서애로1길 06-04
amenity=cafe,amenity,cafe,node,13957502889,더치앤빈,,,Y,37.5750591,126.9808982,
amenity=restaurant,amenity,restaurant,node,13946698644,전주명가,,,Y,37.6374913,127.0377117,서울특별시 도봉구 덕릉로54길 8
amenity=restaurant,amenity,restaurant,node,8441101579,퀸스파크 한남점,,,Y,37.5340132,127.0094676,독서당로 80
amenity=restaurant,amenity,restaurant,node,12074797791,옛날연길냉면,,,Y,37.5702839,127.0103076,종로46길 31
amenity=restaurant,amenity,restaurant,node,12071112591,일산칼국수,,,Y,37.5689043,126.9872047,
amenity=restaurant,amenity,restaurant,node,7559559101,금호횟집 지하24시간 코인노래방,,,Y,37.4996483,126.9326062,
amenity=restaurant,amenity,restaurant,node,12074736355,오복가,,,Y,37.5472100,127.0717920,능동로19길 35
shop=electronics,shop,electronics,node,13143831246,Apple 잠실,,,Y,37.5137700,127.1034917,
amenity=restaurant,amenity,restaurant,node,13946698795,동대문엽기떡볶이쌍문점,,,Y,37.6569487,127.0281906,서울특별시 도봉구 시루봉로 70
amenity=restaurant,amenity,restaurant,node,13946919944,어스,,,Y,37.5710684,127.0675511,서울특별시 동대문구 답십리로66길 36
amenity=restaurant,amenity,restaurant,node,13851760599,구구 알칼리치킨,,,Y,37.5671855,126.9909689,"을지로 지하 88, 대현프리몰 을지스타몰 을특1-4호 (을지로2가)"
shop=stationery,shop,stationery,node,13958041668,아트박스,,,Y,37.6475777,126.8961149,
amenity=restaurant,amenity,restaurant,node,12073107987,임성근국가공인진갈비 서울신당점,,,Y,37.5649594,127.0165268,다산로42길 3
shop=convenience,shop,convenience,node,13911614038,GS25 언주제일,,,Y,37.5076510,127.0323810,논현로111길 14
amenity=restaurant,amenity,restaurant,node,12074613441,명품육사,,,Y,37.5454837,127.0686456,능동로13길 88
shop=supermarket,shop,supermarket,node,13584363382,호야마트,,,Y,37.5904491,127.0741235,봉우재로1길 19
amenity=restaurant,amenity,restaurant,node,13851763243,고냉지김치삼겹살,,,Y,37.5674662,126.9830263,남대문로 116
shop=convenience,shop,convenience,node,5236801421,GS25,GS25,GS25,N,37.5652983,127.0196584,
amenity=restaurant,amenity,restaurant,node,6222632685,모던눌랑,,Modernnulang,Y,37.5199266,126.9279549,국제금융로8길 31
amenity=restaurant,amenity,restaurant,node,10018588092,골뱅이나라,,,Y,37.5810107,127.0451251,홍릉로 8
amenity=restaurant,amenity,restaurant,node,9796016378,Cantus,,,N,37.4980334,126.9986111,
amenity=restaurant,amenity,restaurant,node,13663798574,제주도로담,,,Y,37.5577790,126.9422743,
amenity=bank,amenity,bank,node,2103907402,하나은행,하나은행,KEB Hana Bank,Y,37.5145496,127.0196569,
amenity=bank,amenity,bank,node,12223521425,우리은행,우리은행,Woori Bank,Y,37.4884338,126.7833694,
amenity=school,amenity,school,node,368922985,성암여자중학교,성암여자중학교,Seongam Girls Middle School,Y,37.6205155,127.0241477,
amenity=restaurant,amenity,restaurant,node,9760987665,치킨더플,,,Y,37.6002022,127.0907230,
shop=convenience,shop,convenience,node,13911616005,세븐일레븐 아차산프리미엄점,,,Y,37.5550620,127.0934320,영화사로11길 3
